group,team,position,reference_probability,reference_hits,team_only_mean,team_only_seed_sd,team_only_absolute_error,team_only_zero_seeds,observed_mean,observed_seed_sd,observed_absolute_error,observed_zero_seeds,gap_mean,gap_seed_sd,gap_absolute_error,gap_zero_seeds
16498,4,1,6e-07,3,0.0,0.0,6e-07,20,1.8397166617950475e-06,1.6014904466163381e-06,1.2397166617950475e-06,0,4.986436893134576e-06,1.0143435491860847e-06,4.386436893134576e-06,0
16498,4,2,0.0001018,509,5.918661057926366e-06,2.646905692260835e-05,9.588133894207363e-05,19,0.00044928378555103506,5.1152664940353024e-05,0.0003474837855510351,0,0.0027039876437308452,0.00011241969668666605,0.0026021876437308453,0
16498,4,3,0.0298508,149254,0.028353795887955908,0.004869431877969793,0.0014970041120440924,0,0.03294405501441468,0.0010868816898463958,0.0030932550144146774,0,0.024048510319211094,0.0008616228477179348,0.0058022896807889066,0
16498,4,4,0.0643078,321539,0.06432238168042344,0.0085468290469239,1.4581680423439436e-05,0,0.07217158987904412,0.001539105402411554,0.007863789879044125,0,0.05633580708018322,0.0013442174720421623,0.007971992919816775,0
16498,4,5,0.108812,544060,0.11143912578564252,0.00668308185407229,0.0026271257856425173,0,0.11516383087234638,0.0011230017671793903,0.0063518308723463784,0,0.10010493661620912,0.0017245150783771535,0.008707063383790889,0
16498,4,6,0.165083,825415,0.16208987522696894,0.00943577528674967,0.0029931247730310695,0,0.1534587689242437,0.00232981923953698,0.011624231075756303,0,0.14878487033891635,0.0025533874028978117,0.016298129661083655,0
16498,4,7,0.1955122,977561,0.19071231493894808,0.008469110905016062,0.004799885061051917,0,0.1667632036205598,0.0025471569487697447,0.0287489963794402,0,0.17464609080716367,0.0032011999464951427,0.020866109192836324,0
16498,4,8,0.1520332,760166,0.1545481912027502,0.0097955402461031,0.0025149912027501997,0,0.14825793325478562,0.001823932698589841,0.0037752667452143895,0,0.16118663755245016,0.0028616934605693424,0.009153437552450155,0
16498,4,9,0.1070742,535371,0.11218824609985409,0.008732435424268,0.005114046099854094,0,0.11389455691669344,0.001359777699742314,0.006820356916693443,0,0.12298118754250838,0.0019497868784632835,0.015906987542508383,0
16498,4,10,0.0716022,358011,0.06871941768357592,0.006683018817375632,0.0028827823164240818,0,0.0796460160958191,0.0014920083549079344,0.008043816095819098,0,0.08545900814667379,0.0017196077817634029,0.013856808146673782,0
16498,4,11,0.046089,230445,0.046396600145507026,0.006490430737624915,0.0003076001455070282,0,0.051677146306794916,0.0010661491294810476,0.005588146306794918,0,0.055466463620706244,0.0014708166634475937,0.009377463620706246,0
16498,4,12,0.0281404,140702,0.029403673633564643,0.0031705655028133246,0.001263273633564644,0,0.031602806826199425,0.0008365538717517217,0.003462406826199426,0,0.0334184233311103,0.000748858287103928,0.005278023331110302,0
16498,4,13,0.016368,81840,0.01560754529594049,0.003217058382824361,0.000760454704059511,0,0.017943386093465928,0.0005221422773815344,0.0015753860934659275,0,0.018847403392041422,0.0006088700720151356,0.0024794033920414217,0
16498,4,14,0.0088784,44392,0.008627206892052064,0.0027285299973983197,0.00025119310794793556,0,0.00937739334972006,0.00027658434487493766,0.0004989933497200599,0,0.009527273909965894,0.00031778174256235085,0.0006488739099658938,0
16498,4,15,0.0041662,20831,0.003904770200163614,0.002026280642858117,0.000261429799836386,0,0.00441719662079653,0.00016339643624060728,0.0002509966207965295,0,0.0043036325531462276,0.00016980957268931298,0.00013743255314622744,0
16498,4,16,0.0015472,7736,0.0010327434975078288,0.0009463172992805126,0.0005144565024921713,5,0.001695206845581786,0.00010119722899360655,0.0001480068455817858,0,0.001640947865627427,8.347092147745193e-05,9.374786562742687e-05,0
16498,4,17,0.0003926,1963,0.00031383676458595223,0.0003588413490298704,7.876323541404777e-05,10,0.00046794713834250165,3.437837657040243e-05,7.534713834250165e-05,0,0.0004567168296381494,3.7540323602320304e-05,6.411682963814938e-05,0
16498,4,18,3.98e-05,199,9.46708983485699e-06,4.233811283967498e-05,3.0332910165143008e-05,19,6.668433178720135e-05,5.9963614718772945e-06,2.6884331787201353e-05,0,7.760123918304294e-05,6.348639230136694e-06,3.780123918304294e-05,0
16498,4,19,6e-07,3,0.0,0.0,6e-07,20,1.1537916793372854e-06,5.598083724404456e-07,5.537916793372854e-07,0,5.478411361670458e-06,6.99768850180968e-07,4.878411361670458e-06,0
16498,4,20,0,0,0.0,0.0,0.0,20,6.155127689715887e-10,2.752656784879191e-09,6.155127689715887e-10,19,3.63632799860223e-08,2.208219277553357e-08,3.63632799860223e-08,0
16498,5,1,0.0002238,1119,7.790820946408761e-05,0.00021193567691584126,0.00014589179053591238,17,0.0006570580710192379,0.0001727554676559083,0.00043325807101923786,0,0.00034222570892370184,2.754130716502608e-05,0.00011842570892370185,0
16498,5,2,0.0075178,37589,0.00678030807881972,0.0022061916281036365,0.0007374919211802795,0,0.027054700534611474,0.0013070171358940542,0.019536900534611476,0,0.02845861982848156,0.0005834781025585973,0.02094081982848156,0
16498,5,3,0.2969794,1484897,0.2943233636055873,0.010592863016492725,0.0026560363944126975,0,0.2654483573860214,0.004784157302917282,0.0315310426139786,0,0.21242688014168093,0.00435561861981798,0.08455251985831908,0
16498,5,4,0.2813512,1406756,0.28175587505360583,0.011493335382865906,0.00040467505360580747,0,0.2512881550998704,0.0023054532194829646,0.03006304490012962,0,0.22463411420358786,0.0030034837163271664,0.05671708579641216,0
16498,5,5,0.204235,1021175,0.20659987718824113,0.014490953837987788,0.0023648771882411324,0,0.19869214450366815,0.0027733276769133864,0.00554285549633185,0,0.20287611995291438,0.003884901959697428,0.00135888004708562,0
16498,5,6,0.1180262,590131,0.11682063914365579,0.008981829033272251,0.0012055608563442122,0,0.13380873526822348,0.002683709642962298,0.015782535268223485,0,0.1597047846941542,0.003747016925070814,0.0416785846941542,0
16498,5,7,0.0563174,281587,0.056542391248237435,0.008699828414716839,0.00022499124823743832,0,0.07306556835355202,0.0018097770667809673,0.016748168353552022,0,0.09878822558827441,0.0025693292543198572,0.04247082558827441,0
